driver_id,driver_name,age,experience_years,license_type,employment_type,home_province,performance_rating
D00783,Sibusiso Van Wyk,37,22.0,Code 8,Contract,Limpopo,4.91
D00784,Nomsa Molefe,56,11.0,Code 10,Permanent,North West,3.12
D00785,Karabo Khumalo,28,2.0,Code 8,Permanent,Limpopo,3.93
D00786,Kagiso Botha,57,21.0,Code 8,Contract,Free State,4.4
D00787,Lerato Moyo,21,6.0,Code 8,Permanent,Western Cape,3.59
D00788,Nomsa Mokoena,53,15.0,Code 10,Contract,Free State,4.75
D00789,Thabo Pillay,33,15.0,Code 8,Contract,Mpumalanga,3.5
D00790,Mpho Nkosi,63,18.0,Code 10,Permanent,Gauteng,3.72
D00791,Lerato Adams,41,4.0,Code 14,Permanent,Free State,3.1
D00792,Kagiso Ngcobo,32,7.0,Code 10,Permanent,Eastern Cape,3.89
D00793,Bongani Khumalo,31,22.0,Code 8,Permanent,North West,3.8
D00794,Mandla Zulu,57,28.0,Code 14,Permanent,Gauteng,4.25
D00795,Kagiso Mabena,38,0.0,Code 8,Contract,Western Cape,3.35
D00796,Themba Botha,36,12.0,Code 14,Permanent,Gauteng,3.32
D00797,Bongani Dlamini,53,27.0,Code 10,Permanent,Gauteng,4.12
D00798,Lerato Modise,44,8.0,Code 8,Permanent,North West,4.78
D00799,Lerato Pillay,50,13.0,Code 14,Contract,KwaZulu-Natal,4.24
D00800,Themba Maseko,40,28.0,Code 10,Contract,Eastern Cape,5.0
D00801,Thabo Modise,23,30.0,Code 10,Permanent,KwaZulu-Natal,4.19
D00802,Thabo Khumalo,21,20.0,Code 10,Permanent,North West,4.16
D00803,Ayanda Mthembu,22,21.0,Code 10,Contract,Limpopo,4.28
D00804,Siyabonga Williams,46,19.0,Code 10,Permanent,Free State,4.84
D00805,Zanele Mokoena,43,8.0,Code 14,Contract,North West,4.67
D00806,Kagiso Khumalo,53,27.0,Code 8,Contract,Western Cape,3.04
D00807,Sibusiso Cele,60,1.0,Code 10,Contract,Mpumalanga,4.36
D00808,Nomsa Maseko,28,1.0,Code 10,Permanent,Eastern Cape,3.99
D00809,Nandi Botha,63,18.0,Code 10,Permanent,Eastern Cape,3.66
D00810,Lerato Mabena,61,25.0,Code 10,Contract,Gauteng,2.56
D00811,Tshepo Mokoena,48,25.0,Code 10,Permanent,Western Cape,2.72
D00812,Nomsa Mahlangu,44,21.0,Code 14,Contract,Mpumalanga,3.54
D00813,Nandi Jacobs,28,11.0,Code 8,Permanent,North West,2.77
D00814,Mandla Khumalo,28,11.0,Code 8,Contract,Northern Cape,3.56
D00815,Precious Mabena,21,13.0,Code 10,Permanent,KwaZulu-Natal,4.3
D00816,Zanele Dlamini,49,7.0,Code 8,Permanent,Mpumalanga,3.39
D00817,Bongani Zulu,40,12.0,Code 8,Permanent,Gauteng,3.86
D00818,Tshepo Molefe,29,3.0,Code 8,Permanent,North West,3.05
D00819,Mpho Jacobs,26,9.0,Code 10,Permanent,Limpopo,4.01
D00820,Themba Maseko,23,29.0,Code 14,Contract,North West,4.16
D00821,Siyabonga Khumalo,49,21.0,Code 10,Permanent,Western Cape,2.8
D00822,Precious Botha,51,4.0,Code 8,Contract,Mpumalanga,3.27
D00823,Sibusiso Pillay,48,8.0,Code 14,Permanent,Free State,2.91
D00824,Sipho Moyo,25,8.0,Code 8,Permanent,Limpopo,4.16
D00825,Ayanda Maseko,22,8.0,Code 14,Contract,Free State,3.91
D00826,Amanda Mthembu,25,21.0,Code 10,Permanent,Mpumalanga,3.77
D00827,Bongani Adams,54,27.0,Code 8,Contract,Limpopo,3.71
D00828,Lwazi Naidoo,53,22.0,Code 10,Contract,Eastern Cape,4.03
D00829,Sibusiso Mthembu,33,15.0,Code 8,Permanent,Eastern Cape,4.04
D00830,Precious Nkosi,23,4.0,Code 14,Contract,Western Cape,3.45
D00831,Bongani Modise,35,4.0,Code 8,Permanent,Mpumalanga,3.36
D00832,Busisiwe Mkhize,56,25.0,Code 14,Permanent,Mpumalanga,3.76
D00833,Mpho Mahlangu,27,21.0,Code 14,Permanent,Limpopo,3.67
D00834,Themba Zulu,56,15.0,Code 14,Contract,Mpumalanga,5.0
D00835,Sibusiso Van Wyk,41,17.0,Code 14,Permanent,KwaZulu-Natal,3.53
D00836,Amanda Nkosi,27,26.0,Code 8,Permanent,KwaZulu-Natal,4.0
D00837,Nomsa Khumalo,62,25.0,Code 10,Contract,Northern Cape,4.13
D00838,Sipho Mkhize,43,2.0,Code 14,Permanent,Northern Cape,4.78
D00839,Zanele Moyo,50,12.0,Code 10,Contract,North West,3.23
D00840,Bongani Mokoena,25,1.0,Code 8,Permanent,Western Cape,4.74
D00841,Busisiwe Nkosi,37,11.0,Code 8,Permanent,Free State,3.7
D00842,Sibusiso Cele,48,19.0,Code 8,Permanent,Mpumalanga,5.0
D00843,Amanda Mokoena,49,6.0,Code 14,Permanent,Western Cape,4.05
D00844,Zanele Pillay,23,4.0,Code 10,Permanent,Northern Cape,2.94
D00845,Sipho Nkosi,47,15.0,Code 10,Contract,North West,3.66
D00846,Sipho Khumalo,62,16.0,Code 14,Contract,KwaZulu-Natal,4.74
D00847,Mandla Nkosi,55,22.0,Code 8,Permanent,Free State,3.86
D00848,Sipho Modise,30,0.0,Code 14,Permanent,Northern Cape,3.76
D00849,Amanda Modise,61,7.0,Code 8,Permanent,North West,4.3
D00850,Mpho Mabena,51,24.0,Code 8,Permanent,North West,3.56
D00851,Lerato Sithole,23,21.0,Code 8,Permanent,Northern Cape,3.65
D00852,Lwazi Botha,26,27.0,Code 8,Permanent,Mpumalanga,3.14
D00853,Themba Mokoena,61,25.0,Code 10,Contract,Northern Cape,5.0
D00854,Sibusiso Pillay,30,26.0,Code 10,Contract,Northern Cape,2.94
D00855,Tshepo Jacobs,25,15.0,Code 8,Contract,Western Cape,3.92
D00856,Themba Adams,40,29.0,Code 8,Permanent,Limpopo,4.14
D00857,Sibusiso Molefe,44,12.0,Code 10,Permanent,Eastern Cape,3.79
D00858,Themba Adams,46,27.0,Code 8,Permanent,Free State,2.92
D00859,Mandla Naidoo,49,12.0,Code 14,Permanent,Gauteng,3.1
D00860,Sibusiso Maseko,64,13.0,Code 14,Permanent,Mpumalanga,4.17
D00861,Nomsa Mokoena,54,21.0,Code 10,Contract,North West,3.25
D00862,Sibusiso Naidoo,22,12.0,Code 10,Permanent,Eastern Cape,2.35
D00863,Karabo Botha,24,4.0,Code 10,Permanent,Mpumalanga,4.07
D00864,Ayanda Nkosi,21,27.0,Code 10,Permanent,KwaZulu-Natal,3.19
D00865,Amanda Adams,38,14.0,Code 14,Contract,Mpumalanga,4.24
D00866,Precious Mthembu,36,28.0,Code 14,Permanent,Western Cape,3.66
D00867,Themba Adams,62,12.0,Code 10,Contract,North West,3.63
D00868,Lwazi Naidoo,37,30.0,Code 10,Permanent,Eastern Cape,3.84
D00869,Amanda Mokoena,22,18.0,Code 14,Permanent,Free State,3.0
D00870,Thabo Ndlovu,59,23.0,Code 8,Contract,North West,3.22
D00871,Mpho Adams,32,23.0,Code 10,Permanent,Western Cape,3.62
D00872,Sibusiso Molefe,61,6.0,Code 10,Contract,Northern Cape,3.0
D00873,Zanele Cele,55,25.0,Code 10,Permanent,Limpopo,4.3
D00874,Zanele Ndlovu,59,29.0,Code 10,Permanent,Northern Cape,3.58
D00875,Sipho Moyo,57,20.0,Code 8,Permanent,Free State,2.79
D00876,Ayanda Mkhize,27,29.0,Code 8,Contract,Gauteng,3.41
D00877,Lerato Modise,48,26.0,Code 10,Contract,Limpopo,3.87
D00878,Precious Khumalo,39,20.0,Code 14,Permanent,Limpopo,3.49
D00879,Nandi Mokoena,48,14.0,Code 14,Permanent,Northern Cape,4.08
D00880,Precious Naidoo,53,26.0,Code 10,Permanent,Limpopo,4.2
D00881,Precious Naidoo,43,5.0,Code 8,Permanent,Eastern Cape,5.0
D00882,Kagiso Williams,34,17.0,Code 14,Permanent,Gauteng,4.61
D00883,Bongani Modise,61,25.0,Code 10,Permanent,KwaZulu-Natal,2.65
D00884,Themba Botha,50,29.0,Code 10,Contract,Limpopo,3.55
D00885,Precious Khumalo,59,8.0,Code 10,Permanent,Eastern Cape,3.61
D00886,Busisiwe Zulu,31,2.0,Code 8,Permanent,Eastern Cape,4.2
D00887,Themba Maseko,57,10.0,Code 14,Contract,Western Cape,3.15
D00888,Lwazi Mkhize,35,26.0,Code 10,Permanent,Northern Cape,3.43
D00889,Ayanda Van Wyk,41,16.0, Code 10,Contract,North West,2.93
D00890,Tshepo Mkhize,58,1.0,Code 14,Permanent,KwaZulu-Natal,3.38
D00891,Lwazi Ndlovu,36,3.0,Code 10,Permanent,Gauteng,3.4
D00892,Bongani Cele,32,10.0,Code 14,Permanent,North West,3.58
D00893,Nomsa Botha,61,10.0,Code 10,Permanent,North West,2.97
D00894,Sibusiso Pillay,63,4.0,Code 10,Permanent,Northern Cape,4.49
D00895,Bongani Khumalo,34,15.0,Code 14,Permanent,Free State,4.13
D00896,Themba Molefe,34,14.0,Code 14,Permanent,Mpumalanga,2.79
D00897,Bongani Van Wyk,31,6.0,Code 14,Permanent,Mpumalanga,3.82
D00898,Nandi Moyo,22,7.0,Code 14,Permanent,Gauteng,2.7
D00899,Mandla Williams,27,41,Code 10,Permanent,Free State,4.74
D00900,Bongani Mthembu,32,29.0,Code 8,Contract,KwaZulu-Natal,4.93
D00901,Karabo Naidoo,58,30.0,Code 10,Permanent,Mpumalanga,3.76
D00902,Kagiso Botha,28,17.0,Code 14,Permanent,Northern Cape,3.2
D00903,Precious Pillay,48,1.0,Code 10,Permanent,Western Cape,3.34
D00904,Siyabonga Naidoo,43,27.0,Code 14,Permanent,Western Cape,3.48
D00905,Sipho Cele,47,29.0,Code 14,Permanent,KwaZulu-Natal,3.73
D00906,Amanda Molefe,25,8.0,Code 14,Contract,Gauteng,4.76
D00907,Siyabonga Nkosi,41,12.0,Code 14,Permanent,Western Cape,4.47
D00908,Bongani Adams,48,0.0,Code 10,Permanent,Northern Cape,4.48
D00909,Kagiso Ndlovu,36,24.0,Code 10,Permanent,Limpopo,3.92
D00910,Bongani Mthembu,59,24.0,Code 14,Permanent,Mpumalanga,2.99
D00911,Mpho Sithole,44,0.0,Code 8,Contract,Limpopo,3.26
D00912,Tshepo Williams,36,21.0,Code 8,Permanent,Mpumalanga,3.84
D00913,Ayanda Pillay,22,12.0,Code 14,Permanent,Mpumalanga,2.96
D00914,Lwazi Naidoo,28,16.0,Code 10,Contract,Gauteng,4.01
D00915,Bongani Mabena,41,6.0,Code 10,Permanent,Gauteng,4.36
D00916,Karabo Mthembu,38,25.0,Code 8,Contract,Free State,4.18
D00917,Nandi Zulu,59,12.0,Code 10,Permanent,Eastern Cape,4.15
D00918,Zanele Ndlovu,55,26.0,Code 14,Permanent,North West,2.49
D00919,Thabo Williams,27,4.0,Code 10,Permanent,KwaZulu-Natal,4.73
D00920,Sipho Williams,47,18.0,Code 10,Permanent,KwaZulu-Natal,2.7
D00921,Lerato Nkosi,40,9.0,Code 10,Permanent,Free State,3.69
D00922,Lerato Zulu,25,29.0,Code 14,Permanent,Gauteng,4.23
D00923,Siyabonga Zulu,50,17.0,Code 14,Permanent,North West,4.05
D00924,Karabo Maseko,44,22.0,Code 10,Permanent,Western Cape,2.91
D00925,Karabo Cele,24,2.0,Code 10,Permanent,North West,3.03
D00926,Lerato Williams,41,20.0,Code 8,Permanent,Limpopo,4.0
D00927,Lerato Ngcobo,53,3.0,Code 10,Permanent,North West,4.16
D00928,Mpho Jacobs,35,11.0,Code 8,Contract,KwaZulu-Natal,3.02
D00929,Precious Mabena,36,6.0,Code 10,Permanent,Northern Cape,4.07
D00930,Lwazi Nkosi,25,0.0,Code 10,Contract,North West,2.74
D00931,Zanele Maseko,29,18.0,Code 8,Permanent,Free State,4.24
D00932,Nomsa Adams,64,7.0,Code 8,Permanent,KwaZulu-Natal,3.18
D00933,Kagiso Williams,48,15.0,Code 8,Permanent,Gauteng,
D00934,Lwazi Modise,28,23.0,Code 8,Permanent,Gauteng,3.74
D00935,Lerato Molefe,42,5.0,Code 10,Permanent,Limpopo,4.61
D00936,Kagiso Mthembu,29,22.0,Code 8,Permanent,Northern Cape,3.97
D00937,Amanda Mkhize,40,9.0,Code 8,Contract,Limpopo,3.38
D00938,Thabo Zulu,27,10.0,Code 14,Permanent,Northern Cape,4.05
D00939,Sibusiso Ngcobo,48,17.0,Code 8,Permanent,Mpumalanga,5.0
D00940,Karabo Molefe,46,19.0,Code 14,Permanent,Mpumalanga,4.32
D00941,Kagiso Sithole,48,20.0,Code 10,Permanent,Mpumalanga,3.76
D00942,Siyabonga Sithole,40,6.0,Code 10,Contract,Northern Cape,3.22
D00943,Sibusiso Mahlangu,33,17.0,Code 10,Permanent,North West,3.37
D00944,Nandi Adams,31,8.0,Code 8,Permanent,Gauteng,4.28
D00945,Kagiso Naidoo,30,8.0,Code 14,Permanent,Limpopo,3.18
D00946,Nomsa Cele,39,29.0,Code 14,Permanent,Free State,3.8
D00947,Ayanda Mthembu,40,3.0,Code 8,Contract,North West,4.81
D00948,Themba Mkhize,50,12.0,Code 14,Permanent,Gauteng,3.91
D00949,Busisiwe Mokoena,23,13.0,Code 10,Contract,North West,3.04
D00950,Sipho Zulu,33,7.0,Code 14,Permanent,Free State,5.0
D00951,Bongani Sithole,58,24.0,Code 14,Permanent,Northern Cape,5.0
D00952,Nandi Khumalo,61,15.0,Code 8,Permanent,North West,4.15
D00953,Bongani Sithole,61,22.0,CODE 14,Permanent,Eastern Cape,4.69
D00954,Mandla Nkosi,34,11.0,Code 14,Permanent,North West,3.61
D00955,Lerato Van Wyk,27,27.0,Code 10,Permanent,Gauteng,4.31
D00956,Mandla Van Wyk,29,22.0,Code 8,Contract,Western Cape,3.5
D00957,Sibusiso Dlamini,26,10.0,Code 14,Contract,Free State,2.85
D00958,Tshepo Naidoo,63,29.0,Code 10,Permanent,Eastern Cape,5.0
D00959,Sibusiso Pillay,59,26.0,Code 8,Permanent,Gauteng,2.82
D00960,Lwazi Sithole,56,18.0,Code 14,Permanent,Northern Cape,4.01
D00961,Tshepo Cele,53,0.0,Code 10,Permanent,Western Cape,4.0
D00962,Busisiwe Williams,36,18.0,Code 14,Permanent,Limpopo,4.16
D00963,Sipho Sithole,41,21.0,Code 10,Permanent,KwaZulu-Natal,3.74
D00964,Kagiso Ndlovu,58,11.0,Code 8,Permanent,KwaZulu-Natal,3.74
D00965,Tshepo Mahlangu,56,4.0,Code 14,Permanent,Gauteng,3.9
D00966,Nandi Nkosi,43,17.0,Code 10,Permanent,Eastern Cape,4.14
D00967,Amanda Sithole,57,24.0,Code 10,Permanent,Mpumalanga,3.8
D00968,Themba Molefe,36,9.0,Code 10,Permanent,KwaZulu-Natal,3.75
D00969,Lwazi Khumalo,39,14.0,Code 8,Permanent,Mpumalanga,2.88
D00970,Thabo Moyo,57,0.0,Code 10,Contract,Free State,5.0
D00971,Busisiwe Khumalo,37,21.0,Code 10,Permanent,North West,4.17
D00972,Ayanda Jacobs,54,26.0,Code 14,Contract,Free State,3.95
D00973,Tshepo Adams,40,24.0,Code 14,Contract,Eastern Cape,3.36
D00974,Bongani Naidoo,34,13.0,Code 14,Permanent,Free State,3.1
D00975,Zanele Maseko,30,1.0,Code 8,Contract,Mpumalanga,4.4
D00976,Nomsa Dlamini,47,15.0,Code 10,Contract,Free State,3.69
D00977,Kagiso Zulu,42,29.0,Code 8,Contract,Northern Cape,4.23
D00978,Nomsa Mokoena,37,2.0,Code 14,Contract,Free State,2.85
D00979,Sibusiso Mkhize,53,6.0,Code 10,Permanent,KwaZulu-Natal,4.88
D00980,Karabo Pillay,21,25.0,Code 14,Permanent,Western Cape,4.43
D00981,Amanda Maseko,25,17.0,Code 10,Contract,Eastern Cape,3.74
D00982,Mandla Sithole,63,5.0,Code 8,Contract,Western Cape,4.13
D00983,Mandla Molefe,50,0.0,Code 14,Permanent,Western Cape,4.32
D00984,Precious Modise,45,12.0,Code 10,Permanent,Eastern Cape,2.86
D00985,Ayanda Jacobs,21,18.0,Code 14,Permanent,KwaZulu-Natal,4.97
D00986,Karabo Williams,47,26.0,Code 14,Contract,North West,4.14
D00987,Karabo Ngcobo,40,27.0,Code 10,Permanent,Mpumalanga,3.31
D00988,Mandla Ngcobo,47,14.0,Code 10,Permanent,North West,3.03
D00989,Busisiwe Sithole,22,13.0,Code 10,Permanent,Free State,4.49
D00990,Sipho Adams,45,28.0,Code 14,Permanent,Western Cape,3.95
D00991,Bongani Molefe,46,24.0,Code 14,Contract,North West,4.14
D00992,Sibusiso Moyo,33,6.0,Code 8,Permanent,Free State,3.82
D00993,Karabo Mokoena,23,21.0,Code 10,Permanent,Eastern Cape,3.1
D00994,Nandi Cele,63,22.0,Code 8,Permanent,Limpopo,4.16
D00995,Lwazi Zulu,52,7.0,Code 10,Contract,Gauteng,3.66
D00996,Lerato Pillay,48,30.0,Code 14,Permanent,Free State,3.78
D00997,Karabo Jacobs,54,9.0,Code 14,Permanent,Limpopo,5.0
D00998,Tshepo Modise,50,17.0,Code 10,Permanent,Mpumalanga,4.41
D00999,Thabo Williams,26,15.0,Code 10,Contract,Free State,4.45
D01000,Sibusiso Molefe,41,21.0,Code 8,Contract,Northern Cape,5.0
D01001,Zanele Mokoena,60,27.0,Code 8,Permanent,Northern Cape,4.07
D01002,Zanele Maseko,33,12.0,CODE 10,Permanent,Western Cape,3.88
D01003,Amanda Cele,63,11.0,Code 14,Contract,Western Cape,3.32
D01004,Nomsa Mthembu,23,23.0,Code 10,Permanent,Free State,3.48
D01005,Lwazi Botha,35,29.0,Code 8,Permanent,North West,2.37
D01006,Nomsa Pillay,36,28.0,Code 10,Contract,Free State,4.35
D01007,Ayanda Dlamini,48,23.0,Code 8,Contract,Gauteng,2.91
D01008,Amanda Williams,28,21.0,Code 8,Contract,Limpopo,
D01009,Amanda Naidoo,31,23.0,Code 14,Contract,Northern Cape,3.77
D01010,Thabo Naidoo,50,29.0,Code 8,Permanent,Gauteng,3.89
D01011,Themba Van Wyk,33,0.0,Code 10,Permanent,Free State,3.77
D01012,Ayanda Cele,59,18.0,Code 10,Permanent,Limpopo,4.77
D01013,Nomsa Cele,59,1.0,Code 8,Permanent,Eastern Cape,4.65
D01014,Mpho Naidoo,34,17.0,Code 8,Permanent,Western Cape,3.78
D01015,Nomsa Mokoena,45,12.0,Code 8,Permanent,Mpumalanga,3.17
D01016,Zanele Khumalo,35,9.0,Code 8,Contract,Mpumalanga,4.45
D01017,Mandla Van Wyk,36,27.0,Code 14,Permanent,Limpopo,3.12
D01018,Precious Molefe,50,21.0,Code 10,Contract,Limpopo,2.71
D01019,Kagiso Mabena,33,17.0,Code 10,Permanent,Limpopo,4.15
D01020,Zanele Nkosi,27,27.0,Code 10,Permanent,KwaZulu-Natal,4.65
D01021,Thabo Molefe,32,3.0,Code 14,Permanent,Western Cape,3.52
D01022,Lerato Naidoo,61,20.0,Code 8,Permanent,Northern Cape,4.08
D01023,Mpho Botha,32,4.0,Code 14,Permanent,Gauteng,3.51
D01024,Ayanda Ngcobo,37,7.0,Code 8,Permanent,North West,4.31
D01025,Karabo Khumalo,48,,Code 14,Permanent,Free State,4.57
D01026,Karabo Molefe,25,16.0,Code 8,Permanent,Free State,3.62
D01027,Siyabonga Khumalo,32,19.0,Code 8,Permanent,Western Cape,3.08
D01028,Themba Maseko,28,23.0,Code 10,Permanent,Northern Cape,2.78
D01029,Precious Zulu,61,13.0,Code 8,Permanent,Free State,4.45
D01030,Themba Mahlangu,62,29.0,Code 14,Permanent,North West,3.0
D01031,Sibusiso Ndlovu,54,11.0,Code 10,Permanent,North West,4.06
D01032,Busisiwe Ngcobo,31,4.0,Code 10,Permanent,Gauteng,4.34
D01033,Tshepo Maseko,48,1.0,Code 8,Permanent,Northern Cape,3.45
D01034,Tshepo Sithole,50,3.0,code 10,Contract,Limpopo,3.68
D01035,Themba Pillay,59,13.0,Code 8,Contract,Gauteng,4.5
D01036,Lerato Mokoena,27,12.0,Code 14,Permanent,Limpopo,3.23
D01037,Kagiso Khumalo,53,26.0,Code 10,Permanent,Limpopo,3.16
D01038,Nandi Adams,29,3.0,Code 10,Permanent,Limpopo,3.64
D01039,Kagiso Ndlovu,46,8.0,Code 14,Permanent,KwaZulu-Natal,4.69
D01040,Bongani Ngcobo,59,30.0,Code 10,Permanent,Northern Cape,4.93
D01041,Siyabonga Zulu,23,0.0,Code 10,Permanent,KwaZulu-Natal,3.73
D01042,Lwazi Dlamini,27,13.0,Code 8,Contract,Free State,3.3
D01043,Amanda Mabena,56,6.0,Code 10,Permanent,North West,4.54
D01044,Karabo Moyo,21,16.0,Code 10,Permanent,Western Cape,2.63
D01045,Lwazi Ndlovu,51,30.0,Code 8,Contract,Eastern Cape,3.97
D01046,Zanele Botha,43,7.0,Code 14,Permanent,Free State,3.77
D01047,Bongani Mabena,36,11.0,Code 8,Permanent,Mpumalanga,4.71
D01048,Tshepo Adams,58,13.0,Code 10,Permanent,North West,4.78
D01049,Busisiwe Mthembu,58,24.0,Code 8,Permanent,North West,3.14
D01050,Siyabonga Van Wyk,35,30.0,Code 10,Contract,Eastern Cape,3.92
D01051,Nandi Dlamini,21,2.0,Code 14,Permanent,Free State,3.4
D01052,Bongani Maseko,26,15.0,Code 8,Permanent,Western Cape,3.59
D01053,Sibusiso Pillay,25,23.0,Code 10,Permanent,North West,4.23
D01054,Amanda Mahlangu,64,0.0,Code 10,Permanent,KwaZulu-Natal,3.57
D01055,Lwazi Dlamini,47,24.0,Code 14,Permanent,Free State,3.94
D01056,Precious Naidoo,50,7.0,Code 8,Permanent,Mpumalanga,4.47
D01057,Sipho Mthembu,31,16.0,Code 14,Permanent,Mpumalanga,4.86
D01058,Siyabonga Naidoo,58,30.0,Code 10,Permanent,Western Cape,4.0
D01059,Nandi Williams,52,19.0,Code 10,Contract,Mpumalanga,3.88
D01060,Lwazi Nkosi,54,30.0,Code 10,Contract,Eastern Cape,3.02
D01061,Precious Molefe,41,18.0,Code 10,Contract,Eastern Cape,4.91
D01062,Zanele Molefe,51,6.0,Code 10,Permanent,Gauteng,4.15
D01063,Karabo Molefe,44,21.0,Code 8,Contract,Mpumalanga,3.9
D01064,Bongani Mthembu,37,19.0,Code 10,Contract,Free State,3.86
D01065,Bongani Molefe,47,9.0,Code 10,Permanent,Western Cape,4.05
D01066,Sipho Pillay,35,2.0,Code 10,Permanent,Gauteng,4.34
D01067,Thabo Zulu,62,20.0,Code 8,Permanent,Mpumalanga,4.43
D01068,Nandi Williams,52,17.0,Code 10,Contract,Western Cape,4.93
D01069,Mandla Botha,53,23.0,Code 10,Contract,Free State,3.97
D01070,Amanda Williams,52,3.0,Code 10,Contract,Mpumalanga,5.0
D01071,Themba Mabena,40,16.0,Code 14,Permanent,Northern Cape,4.54
D01072,Themba Zulu,62,25.0,Code 10,Contract,Gauteng,3.76
D01073,Nandi Modise,30,27.0,Code 10,Permanent,KwaZulu-Natal,2.63
D01074,Nomsa Mokoena,46,29.0,Code 8,Permanent,Gauteng,3.86
D01075,Thabo Cele,24,6.0,Code 14,Permanent,North West,4.89
D01076,Lwazi Ngcobo,33,5.0,Code 8,Contract,Limpopo,3.26
D01077,Lwazi Adams,46,17.0,Code 10,Contract,Northern Cape,
D01078,Nomsa Mkhize,42,14.0,Code 8,Permanent,Western Cape,3.92
D01079,Mpho Botha,62,7.0,Code 8,Permanent,Mpumalanga,4.46
D01080,Thabo Modise,48,3.0,Code 14,Permanent,Western Cape,3.53
D01081,Themba Sithole,39,4.0,Code 8,Permanent,Western Cape,3.19
D01082,Amanda Van Wyk,39,10.0,Code 8,Contract,Eastern Cape,4.2
D01083,Busisiwe Mokoena,47,22.0,Code 8,Permanent,Eastern Cape,3.28
D01084,Sibusiso Maseko,55,2.0,Code 14,Permanent,Eastern Cape,2.52
D01085,Sibusiso Mokoena,33,3.0,Code 14,Permanent,Western Cape,5.0
D01086,Lwazi Van Wyk,46,8.0,Code 14,Permanent,Free State,4.45
D01087,Sipho Sithole,46,27.0,Code 14,Contract,Eastern Cape,5.0
D01088,Precious Moyo,21,30.0,Code 14,Permanent,Northern Cape,4.41
D01089,Precious Khumalo,61,13.0,Code 10,Permanent,North West,4.28
D01090,Thabo Cele,46,1.0,Code 8,Contract,Eastern Cape,4.06
D01091,Sibusiso Maseko,31,0.0,Code 8,Permanent,Mpumalanga,3.67
D01092,Mpho Ndlovu,48,26.0,Code 8,Permanent,Limpopo,4.16
D01093,Nomsa Nkosi,50,13.0,Code 10,Permanent,Free State,3.41
D01094,Kagiso Mthembu,61,2.0,Code 8,Contract,Northern Cape,3.05
D01095,Bongani Zulu,22,25.0,Code 8,Permanent,Limpopo,3.57
D01096,Themba Sithole,39,16.0,Code 10,Permanent,Free State,4.7
D01097,Kagiso Naidoo,28,10.0,Code 8,Permanent,Limpopo,2.94
D01098,Mandla Nkosi,46,14.0,Code 8,Permanent,North West,2.95
D01099,Karabo Khumalo,43,6.0,Code 8,Permanent,Mpumalanga,4.21
D01100,Themba Mokoena,41,28.0,Code 10,Permanent,Free State,3.51
D01101,Siyabonga Modise,64,24.0,Code 8,Permanent,Gauteng,4.14
D01102,Zanele Modise,44,6.0,Code 8,Permanent,Limpopo,4.49
D01103,Mandla Molefe,39,22.0,Code 8,Permanent,Eastern Cape,4.12
D01104,Tshepo Mokoena,23,5.0,Code 14,Permanent,Northern Cape,3.36
D01105,Busisiwe Ndlovu,33,14.0,Code 8,Permanent,Northern Cape,4.7
D01106,Amanda Moyo,60,23.0,Code 8,Contract,Western Cape,4.32
D01107,Bongani Jacobs,40,1.0,Code 14,Permanent,Northern Cape,3.82
D01108,Kagiso Williams,61,22.0,Code 14,Contract,Northern Cape,3.78
D01109,Mpho Nkosi,44,7.0,Code 8,Contract,Northern Cape,4.06
D01110,Mandla Pillay,45,21.0,Code 8,Contract,Free State,3.58
D01111,Themba Ndlovu,39,15.0,Code 8,Permanent,KwaZulu-Natal,2.66
D01112,Tshepo Jacobs,45,0.0,CODE 10,Permanent,Limpopo,
D01113,Zanele Mkhize,23,23.0,Code 8,Permanent,North West,4.28
D01114,Siyabonga Zulu,23,8.0,Code 14,Permanent,Free State,2.19
D01115,Lerato Adams,41,29.0,Code 14,Permanent,Northern Cape,4.16
D01116,Sipho Pillay,47,26.0,Code 10,Permanent,KwaZulu-Natal,5.0
D01117,Bongani Ngcobo,45,5.0,Code 8,Permanent,North West,3.01
D01118,Kagiso Mokoena,39,18.0,Code 14,Contract,Western Cape,3.75
D01119,Karabo Dlamini,33,11.0,Code 10,Permanent,North West,3.67
D01120,Sibusiso Modise,52,18.0,Code 14,Contract,Northern Cape,4.96
D01121,Themba Nkosi,47,17.0,Code 8,Contract,Mpumalanga,4.58
D01122,Precious Zulu,23,9.0,Code 10,Permanent,Limpopo,3.19
D01123,Mandla Jacobs,40,20.0,Code 14,Permanent,Eastern Cape,4.04
D01124,Busisiwe Nkosi,52,8.0,Code 14,Permanent,North West,5.0
D01125,Sibusiso Sithole,55,28.0,Code 10,Contract,Gauteng,3.36
D01126,Mandla Adams,33,29.0,Code 10,Contract,KwaZulu-Natal,3.79
D01127,Sipho Naidoo,21,31,Code 10,Permanent,Gauteng,4.16
D01128,Mandla Pillay,49,22.0,Code 10,Permanent,KwaZulu-Natal,3.37
D01129,Nomsa Dlamini,40,28.0,Code 14,Permanent,Free State,5.0
D01130,Mpho Ngcobo,48,3.0,Code 10,Contract,Eastern Cape,3.47
D01131,Karabo Cele,59,22.0,Code 8,Contract,Eastern Cape,2.83
D01132,Kagiso Pillay,30,29.0,Code 8,Contract,KwaZulu-Natal,3.43
D01133,Mandla Khumalo,27,6.0,Code 10,Permanent,Eastern Cape,4.26
