driver_id,driver_name,age,experience_years,license_type,employment_type,home_province,performance_rating
1758,D001759,Phumzile Mabena,60,28,Code 10,Permanent,Northern Cape,4.22
1759,D001760,Lerato Van Wyk,65,28,Code 14,Contract,KwaZulu-Natal,3.16
1760,D001761,Kabelo Moyo,27,19,Code 10,Owner Driver,Eastern Cape,4.43
1761,D001762,Phumzile Nkosi,45,5,Code 10,Permanent,Mpumalanga,3.95
1762,D001763,Sipho Moyo,28,17,Code 10,Owner Driver,Western Cape,3.83
1763,D001764,Kabelo Molefe,34,20,Code 8,Contract,KwaZulu-Natal,3.82
1764,D001765,Busisiwe Jacobs,37,25,Code 10,Permanent,North West,2.66
1765,D001766,Kabelo Van Wyk,34,3,Code 8,Permanent,Gauteng,4.41
1766,D001767,Lindelwa Mahlangu,38,16,Code 10,Owner Driver,North West,4.35
1767,D001768,Lerato Nkosi,33,31,Code 10,Permanent,Limpopo,4.02
1768,D001769,Amanda Maseko,62,6,Code 10,Owner Driver,KwaZulu-Natal,5.0
1769,D001770,Themba Cele,46,23,Code 8,Owner Driver,Limpopo,3.99
1770,D001771,Nokuthula Botha,41,6,Code 10,Permanent,Mpumalanga,3.38
1771,D001772,Busisiwe Mahlangu,28,12,Code 10,Permanent,Western Cape,3.58
1772,D001773,Phumzile Van Wyk,53,28,Code 10,Owner Driver,Eastern Cape,3.84
1773,D001774,Lwazi Sithole,64,29,Code 8,Permanent,North West,4.55
1774,D001775,Kagiso Botha,42,16,Code 14,Contract,Northern Cape,4.0
1775,D001776,Lerato Mahlangu,53,6,Code 8,Owner Driver,Mpumalanga,4.07
1776,D001777,Thabo Ngcobo,36,33,Code 8,Contract,Gauteng,3.97
1777,D001778,Sipho Botha,29,34,Code 8,Permanent,North West,4.31
1778,D001779,Nandi Khumalo,39,31,Code 8,Owner Driver,Mpumalanga,3.14
1779,D001780,Bongani Pillay,57,6,Code 8,Contract,Western Cape,3.99
1780,D001781,Nomsa Dlamini,33,5,Code 8,Owner Driver,Western Cape,3.45
1781,D001782,Nokuthula Mkhize,45,11,Code 8,Owner Driver,North West,3.78
1782,D001783,Sibusiso Cele,38,19,Code 14,Permanent,Gauteng,4.58
1783,D001784,Tshepo Dlamini,43,25,Code 10,Owner Driver,Western Cape,3.61
1784,D001785,Lindelwa Mthembu,32,18,Code 10,Owner Driver,KwaZulu-Natal,3.53
1785,D001786,Nokuthula Maseko,37,21,Code 10,Contract,Gauteng,3.63
1786,D001787,Precious Mkhize,39,7,Code 8,Permanent,Free State,3.02
1787,D001788,Tshepo Maseko,55,2,Code 10,Contract,Eastern Cape,2.83
1788,D001789,Lindelwa Molefe,27,31,Code 8,Contract,Gauteng,2.78
1789,D001790,Themba Ngcobo,48,13,Code 10,Permanent,Free State,3.93
1790,D001791,Lindelwa Pillay,49,5,Code 8,Permanent,Free State,3.59
1791,D001792,Zanele Sithole,49,4,Code 8,Owner Driver,North West,3.68
1792,D001793,Nomsa Pillay,42,26,Code 10,Contract,Western Cape,4.17
1793,D001794,Nandi Modise,54,33,Code 10,Owner Driver,North West,4.52
1794,D001795,Themba Mkhize,28,29,Code 8,Contract,Northern Cape,3.58
1795,D001796,Mandla Maseko,54,19,Code 10,Contract,Free State,3.63
1796,D001797,Nokuthula Mthembu,30,24,Code 14,Permanent,Western Cape,4.83
1797,D001798,Kabelo Sithole,59,29,Code 10,Permanent,Northern Cape,4.81
1798,D001799,Kabelo Khumalo,49,8,Code 8,Contract,Western Cape,3.83
1799,D001800,Karabo Williams,34,22,Code 10,Permanent,North West,4.64
1800,D001801,Amanda Mabena,29,7,Code 14,Permanent,Mpumalanga,3.41
1801,D001802,Tshepo Mthembu,23,22,Code 8,Permanent,North West,3.94
1802,D001803,Mpho Ndlovu,57,21,Code 10,Permanent,Mpumalanga,4.62
1803,D001804,Themba Jacobs,63,5,Code 8,Owner Driver,Limpopo,4.88
1804,D001805,Busisiwe Naidoo,53,11,Code 8,Permanent,KwaZulu-Natal,3.64
1805,D001806,Thabo Modise,32,29,Code 10,Contract,Limpopo,3.75
1806,D001807,Mpho Botha,62,9,Code 10,Permanent,Limpopo,4.26
1807,D001808,Busisiwe Mokoena,48,7,Code 14,Permanent,Mpumalanga,4.11
1808,D001809,Kagiso Mthembu,56,27,Code 8,Contract,Gauteng,4.21
1809,D001810,Tshepo Ngcobo,51,1,Code 14,Contract,Gauteng,3.52
1810,D001811,Kagiso Van Wyk,54,22,Code 10,Owner Driver,KwaZulu-Natal,4.27
1811,D001812,Nokuthula Mokoena,64,12,Code 10,Permanent,Limpopo,3.53
1812,D001813,Zanele Modise,28,20,Code 10,Owner Driver,Limpopo,5.0
1813,D001814,Siyabonga Ndlovu,23,28,Code 8,Owner Driver,North West,3.72
1814,D001815,Lerato Mthembu,47,13,Code 10,Permanent,Limpopo,3.53
1815,D001816,Bongani Naidoo,39,33,Code 10,Contract,Western Cape,3.81
1816,D001817,Mandla Van Wyk,59,10,Code 8,Permanent,North West,3.8
1817,D001818,Mpho Sithole,49,29,Code 8,Contract,Northern Cape,3.66
1818,D001819,Karabo Mthembu,60,30,Code 8,Owner Driver,Gauteng,4.11
1819,D001820,Precious Molefe,53,19,Code 10,Owner Driver,Northern Cape,3.15
1820,D001821,Ayanda Molefe,58,8,Code 10,Permanent,Eastern Cape,3.51
1821,D001822,Themba Mabena,31,24,Code 14,Owner Driver,Western Cape,4.82
1822,D001823,Zanele Modise,65,6,Code 10,Permanent,Mpumalanga,4.27
1823,D001824,Bongani Cele,64,32,Code 8,Permanent,KwaZulu-Natal,4.3
1824,D001825,Sipho Cele,59,22,Code 10,Permanent,Northern Cape,3.97
1825,D001826,Precious Mkhize,31,6,Code 8,Owner Driver,North West,4.23
1826,D001827,Dumisani Mkhize,46,20,Code 10,Owner Driver,North West,4.6
1827,D001828,Nandi Khumalo,24,16,Code 10,Contract,KwaZulu-Natal,4.41
1828,D001829,Lindelwa Mthembu,53,10,Code 8,Contract,Mpumalanga,3.85
1829,D001830,Lerato Moyo,35,8,Code 14,Permanent,Western Cape,4.48
1830,D001831,Mandla Ngcobo,58,14,Code 14,Permanent,Eastern Cape,3.29
1831,D001832,Thabo Mkhize,25,12,Code 8,Contract,Mpumalanga,3.18
1832,D001833,Sipho Khumalo,26,15,Code 10,Permanent,Limpopo,3.29
1833,D001834,Kabelo Nkosi,29,15,Code 14,Permanent,Western Cape,3.81
1834,D001835,Siyabonga Ndlovu,24,29,Code 8,Owner Driver,Western Cape,3.91
1835,D001836,Kagiso Mabena,33,11,Code 14,Permanent,North West,4.67
1836,D001837,Ayanda Khumalo,61,9,Code 10,Permanent,Limpopo,4.16
1837,D001838,Phumzile Jacobs,24,25,Code 8,Permanent,Western Cape,4.08
1838,D001839,Ayanda Ngcobo,36,29,Code 10,Owner Driver,North West,4.26
1839,D001840,Sipho Mabena,28,8,Code 10,Permanent,North West,4.93
1840,D001841,Amanda Moyo,50,17,Code 10,Permanent,Limpopo,3.79
1841,D001842,Amanda Naidoo,55,10,Code 8,Permanent,KwaZulu-Natal,3.82
1842,D001843,Nandi Cele,38,14,Code 10,Permanent,Eastern Cape,3.86
1843,D001844,Amanda Nkosi,57,24,Code 8,Permanent,Northern Cape,3.85
1844,D001845,Bongani Ngcobo,60,17,Code 8,Permanent,KwaZulu-Natal,3.25
1845,D001846,Ayanda Pillay,63,12,Code 10,Contract,Limpopo,3.48
1846,D001847,Dumisani Mthembu,38,8,Code 10,Permanent,Mpumalanga,4.04
1847,D001848,Amanda Dlamini,44,27,Code 8,Permanent,Gauteng,3.29
1848,D001849,Nomsa Jacobs,28,18,Code 14,Permanent,Eastern Cape,4.04
1849,D001850,Precious Maseko,27,34,Code 14,Permanent,Limpopo,4.03
1850,D001851,Tshepo Cele,30,12,Code 14,Contract,Eastern Cape,4.43
1851,D001852,Lerato Ndlovu,61,18,Code 10,Permanent,Limpopo,4.27
1852,D001853,Mpho Ndlovu,45,8,Code 14,Owner Driver,Gauteng,4.24
1853,D001854,Amanda Botha,49,9,Code 10,Permanent,Eastern Cape,4.23
1854,D001855,Sipho Khumalo,59,13,Code 8,Owner Driver,Free State,4.02
1855,D001856,Sibusiso Molefe,33,27,Code 8,Permanent,Mpumalanga,4.17
1856,D001857,Kagiso Van Wyk,35,1,Code 10,Owner Driver,Free State,3.26
1857,D001858,Ayanda Naidoo,52,30,Code 10,Owner Driver,Limpopo,3.32
1858,D001859,Nokuthula Pillay,63,31,Code 14,Permanent,Free State,3.74
1859,D001860,Thabo Naidoo,28,8,Code 10,Owner Driver,Free State,4.08
1860,D001861,Kabelo Mkhize,65,24,Code 10,Permanent,Western Cape,4.7
1861,D001862,Mpho Mabena,47,9,Code 8,Permanent,Gauteng,4.0
1862,D001863,Amanda Van Wyk,61,24,Code 10,Contract,Western Cape,3.99
1863,D001864,Thabo Mokoena,54,23,Code 10,Contract,Western Cape,3.16
1864,D001865,Nokuthula Ngcobo,35,18,Code 8,Contract,KwaZulu-Natal,4.68
1865,D001866,Mandla Cele,53,28,Code 10,Owner Driver,Western Cape,4.63
1866,D001867,Nomsa Molefe,35,11,Code 10,Permanent,Northern Cape,4.0
1867,D001868,Mpho Adams,32,9,Code 10,Owner Driver,Northern Cape,3.29
1868,D001869,Dumisani Adams,35,29,Code 14,Contract,Northern Cape,3.59
1869,D001870,Lindelwa Modise,41,16,Code 8,Contract,Gauteng,3.45
1870,D001871,Ayanda Dlamini,34,31,Code 10,Permanent,North West,4.68
1871,D001872,Kabelo Botha,56,13,Code 8,Contract,Western Cape,3.63
1872,D001873,Kagiso Mkhize,50,14,Code 14,Contract,Northern Cape,3.34
1873,D001874,Sibusiso Ndlovu,30,7,Code 8,Owner Driver,Mpumalanga,3.28
1874,D001875,Lindelwa Cele,42,21,Code 8,Permanent,Limpopo,3.94
1875,D001876,Busisiwe Adams,23,20,Code 14,Owner Driver,Limpopo,4.19
1876,D001877,Mandla Pillay,48,22,Code 14,Permanent,KwaZulu-Natal,3.91
1877,D001878,Karabo Naidoo,33,21,Code 10,Permanent,KwaZulu-Natal,3.51
1878,D001879,Mandla Mokoena,37,15,Code 8,Owner Driver,KwaZulu-Natal,3.81
1879,D001880,Karabo Dlamini,53,24,Code 8,Permanent,Western Cape,4.49
1880,D001881,Nokuthula Jacobs,62,19,Code 8,Permanent,Northern Cape,5.0
1881,D001882,Phumzile Mahlangu,41,12,Code 8,Permanent,Mpumalanga,3.43
1882,D001883,Precious Cele,29,28,Code 10,Contract,Eastern Cape,3.35
1883,D001884,Karabo Nkosi,64,11,Code 10,Owner Driver,Western Cape,3.93
1884,D001885,Themba Moyo,42,18,Code 8,Owner Driver,KwaZulu-Natal,3.8
1885,D001886,Dumisani Mkhize,27,5,Code 10,Permanent,Free State,4.24
1886,D001887,Tshepo Mkhize,38,1,Code 10,Permanent,Mpumalanga,3.6
1887,D001888,Mpho Pillay,47,17,Code 14,Contract,North West,3.8
1888,D001889,Lindelwa Adams,49,4,Code 14,Permanent,North West,4.55
1889,D001890,Thabo Dlamini,35,8,Code 8,Permanent,Northern Cape,3.0
1890,D001891,Sipho Moyo,36,7,Code 14,Contract,Eastern Cape,4.38
1891,D001892,Karabo Ndlovu,42,17,Code 10,Permanent,North West,3.77
1892,D001893,Tshepo Cele,29,14,Code 10,Owner Driver,Free State,4.22
1893,D001894,Dumisani Dlamini,28,22,Code 10,Permanent,Mpumalanga,4.11
1894,D001895,Mandla Botha,29,17,Code 14,Permanent,Eastern Cape,4.22
1895,D001896,Ayanda Ngcobo,41,25,Code 8,Permanent,Free State,3.91
1896,D001897,Amanda Mthembu,45,21,Code 10,Owner Driver,Limpopo,3.76
1897,D001898,Sibusiso Mthembu,51,5,Code 10,Permanent,Western Cape,5.0
1898,D001899,Kabelo Maseko,30,34,Code 8,Contract,Northern Cape,4.02
1899,D001900,Thabo Van Wyk,24,26,Code 10,Permanent,North West,3.61
1900,D001901,Mandla Ndlovu,29,13,Code 8,Owner Driver,Western Cape,4.31
1901,D001902,Mandla Sithole,46,12,Code 8,Owner Driver,KwaZulu-Natal,4.47
1902,D001903,Mpho Cele,59,25,Code 8,Owner Driver,Northern Cape,3.86
1903,D001904,Tshepo Sithole,64,32,Code 8,Owner Driver,Limpopo,4.53
1904,D001905,Nomsa Mokoena,62,29,Code 10,Contract,Mpumalanga,4.5
1905,D001906,Bongani Molefe,64,31,Code 10,Permanent,Mpumalanga,3.41
1906,D001907,Thabo Sithole,35,29,Code 8,Contract,KwaZulu-Natal,3.15
1907,D001908,Ayanda Jacobs,29,7,Code 8,Permanent,Mpumalanga,3.85
1908,D001909,Kagiso Pillay,26,22,Code 10,Permanent,North West,3.83
1909,D001910,Kabelo Naidoo,55,6,Code 10,Owner Driver,North West,4.4
1910,D001911,Lindelwa Mkhize,52,26,Code 10,Permanent,North West,4.46
1911,D001912,Mandla Adams,38,4,Code 10,Permanent,Northern Cape,3.19
1912,D001913,Dumisani Naidoo,28,13,Code 14,Owner Driver,Limpopo,4.07
1913,D001914,Phumzile Jacobs,64,28,Code 10,Owner Driver,Eastern Cape,4.57
1914,D001915,Thabo Cele,36,8,Code 8,Permanent,Mpumalanga,4.1
1915,D001916,Busisiwe Mahlangu,47,20,Code 14,Contract,Northern Cape,4.61
1916,D001917,Precious Mthembu,36,34,Code 10,Permanent,Western Cape,4.18
1917,D001918,Lwazi Van Wyk,24,29,Code 10,Owner Driver,North West,4.54
1918,D001919,Mpho Adams,35,29,Code 8,Owner Driver,Northern Cape,4.87
1919,D001920,Amanda Jacobs,55,26,Code 8,Permanent,Eastern Cape,4.1
1920,D001921,Sibusiso Pillay,56,20,Code 14,Owner Driver,Free State,3.8
1921,D001922,Lindelwa Modise,52,8,Code 10,Contract,Eastern Cape,3.93
1922,D001923,Amanda Dlamini,44,10,Code 8,Permanent,Gauteng,4.48
1923,D001924,Karabo Mokoena,41,33,Code 10,Owner Driver,Gauteng,3.35
1924,D001925,Nandi Williams,32,2,Code 8,Owner Driver,Northern Cape,4.98
1925,D001926,Phumzile Mabena,61,15,Code 10,Permanent,North West,3.91
1926,D001927,Tshepo Cele,55,30,Code 8,Permanent,Gauteng,5.0
1927,D001928,Nokuthula Mkhize,41,13,Code 10,Permanent,KwaZulu-Natal,3.83
1928,D001929,Phumzile Mthembu,59,19,Code 8,Owner Driver,Free State,4.83
1929,D001930,Bongani Ngcobo,63,26,Code 14,Contract,Limpopo,3.69
1930,D001931,Mpho Naidoo,43,15,Code 14,Owner Driver,Northern Cape,4.68
1931,D001932,Tshepo Ngcobo,39,21,Code 8,Permanent,Eastern Cape,4.14
1932,D001933,Zanele Cele,51,32,Code 8,Contract,Northern Cape,4.0
1933,D001934,Precious Naidoo,37,22,Code 10,Owner Driver,Western Cape,3.77
1934,D001935,Nomsa Zulu,25,27,Code 8,Contract,Gauteng,3.79
1935,D001936,Dumisani Mahlangu,63,24,Code 14,Owner Driver,Northern Cape,4.06
1936,D001937,Lindelwa Adams,36,34,Code 8,Permanent,Eastern Cape,4.15
1937,D001938,Lindelwa Pillay,29,26,Code 8,Permanent,Limpopo,3.65
1938,D001939,Nokuthula Ndlovu,61,11,Code 10,Permanent,Gauteng,4.58
1939,D001940,Nokuthula Molefe,29,4,Code 10,Permanent,Gauteng,3.47
1940,D001941,Kagiso Sithole,38,32,Code 8,Permanent,Limpopo,3.76
1941,D001942,Zanele Mkhize,28,6,Code 8,Owner Driver,North West,3.92
1942,D001943,Dumisani Modise,29,29,Code 10,Owner Driver,Western Cape,3.7
1943,D001944,Busisiwe Mthembu,39,17,Code 10,Contract,North West,4.68
1944,D001945,Nokuthula Ndlovu,25,15,Code 14,Owner Driver,Western Cape,3.19
1945,D001946,Dumisani Jacobs,56,28,Code 14,Contract,Free State,3.93
1946,D001947,Amanda Moyo,35,3,Code 8,Permanent,Western Cape,3.63
1947,D001948,Kagiso Botha,51,5,Code 10,Owner Driver,Gauteng,4.26
1948,D001949,Mandla Mthembu,63,2,Code 10,Permanent,Western Cape,3.66
1949,D001950,Zanele Zulu,63,14,Code 10,Contract,Mpumalanga,3.43
1950,D001951,Amanda Williams,44,32,Code 10,Permanent,Gauteng,3.88
1951,D001952,Bongani Dlamini,47,20,Code 8,Permanent,Mpumalanga,4.18
1952,D001953,Siyabonga Mkhize,30,33,Code 14,Permanent,Gauteng,3.72
1953,D001954,Mandla Moyo,52,34,Code 14,Permanent,Western Cape,3.95
1954,D001955,Bongani Mokoena,43,25,Code 10,Owner Driver,Mpumalanga,4.05
1955,D001956,Mandla Mahlangu,64,20,Code 14,Owner Driver,Limpopo,3.85
1956,D001957,Precious Nkosi,65,6,Code 8,Permanent,Free State,4.14
1957,D001958,Sibusiso Molefe,36,9,Code 14,Permanent,North West,3.88
1958,D001959,Busisiwe Van Wyk,42,20,Code 10,Permanent,Free State,3.73
1959,D001960,Nomsa Maseko,59,32,Code 8,Contract,Mpumalanga,3.79
1960,D001961,Lwazi Mokoena,63,15,Code 10,Contract,Gauteng,3.83
1961,D001962,Zanele Adams,52,25,Code 8,Permanent,Eastern Cape,3.92
1962,D001963,Kagiso Williams,65,27,Code 10,Permanent,North West,3.83
1963,D001964,Zanele Moyo,56,14,Code 8,Owner Driver,KwaZulu-Natal,4.21
1964,D001965,Dumisani Modise,48,1,Code 8,Permanent,Northern Cape,4.03
1965,D001966,Sipho Mahlangu,55,24,Code 8,Contract,Eastern Cape,3.62
1966,D001967,Nomsa Naidoo,61,31,Code 8,Permanent,Western Cape,4.08
1967,D001968,Amanda Molefe,55,23,Code 8,Owner Driver,North West,4.06
1968,D001969,Karabo Mabena,56,1,Code 10,Contract,Free State,3.73
1969,D001970,Tshepo Ngcobo,41,27,Code 8,Contract,KwaZulu-Natal,4.55
1970,D001971,Amanda Williams,56,31,Code 8,Permanent,Gauteng,3.87
1971,D001972,Thabo Pillay,60,5,Code 8,Owner Driver,Northern Cape,4.3
1972,D001973,Karabo Adams,52,9,Code 14,Permanent,Gauteng,3.39
1973,D001974,Sibusiso Maseko,31,13,Code 10,Permanent,Mpumalanga,4.07
1974,D001975,Lerato Ngcobo,51,13,Code 8,Permanent,KwaZulu-Natal,4.08
1975,D001976,Tshepo Modise,39,30,Code 8,Owner Driver,Mpumalanga,4.1
1976,D001977,Kagiso Nkosi,37,33,Code 10,Contract,Eastern Cape,3.34
1977,D001978,Nomsa Ngcobo,45,4,Code 8,Permanent,Mpumalanga,3.29
1978,D001979,Kagiso Jacobs,27,14,Code 10,Permanent,Western Cape,4.22
1979,D001980,Nandi Moyo,29,9,Code 14,Owner Driver,Mpumalanga,3.94
1980,D001981,Nomsa Ndlovu,57,18,Code 8,Permanent,Eastern Cape,3.43
1981,D001982,Precious Sithole,51,21,Code 10,Owner Driver,Gauteng,3.4
1982,D001983,Nokuthula Botha,56,13,Code 10,Permanent,Mpumalanga,3.31
1983,D001984,Thabo Mahlangu,39,12,Code 10,Permanent,Western Cape,3.8
1984,D001985,Lwazi Williams,48,34,Code 14,Owner Driver,KwaZulu-Natal,4.38
1985,D001986,Kabelo Cele,50,3,Code 10,Permanent,Limpopo,4.36
1986,D001987,Lindelwa Dlamini,46,31,Code 10,Contract,North West,3.67
1987,D001988,Dumisani Pillay,29,21,Code 10,Permanent,Gauteng,5.0
1988,D001989,Karabo Mthembu,36,26,Code 8,Permanent,Free State,3.01
1989,D001990,Lindelwa Van Wyk,27,7,Code 10,Owner Driver,KwaZulu-Natal,3.75
1990,D001991,Dumisani Mthembu,36,13,Code 10,Contract,North West,4.59
1991,D001992,Ayanda Ndlovu,38,31,Code 10,Owner Driver,Eastern Cape,4.28
1992,D001993,Lerato Dlamini,63,23,Code 10,Permanent,KwaZulu-Natal,4.7
1993,D001994,Nokuthula Botha,32,25,Code 10,Owner Driver,Gauteng,3.64
1994,D001995,Mpho Molefe,54,4,Code 8,Permanent,Eastern Cape,3.94
1995,D001996,Dumisani Adams,25,29,Code 10,Permanent,Free State,3.68
1996,D001997,Kabelo Modise,52,15,Code 10,Contract,Limpopo,4.13
1997,D001998,Mpho Pillay,52,15,Code 10,Contract,North West,4.2
1998,D001999,Siyabonga Adams,45,17,Code 14,Permanent,North West,3.84
1999,D002000,Nomsa Naidoo,41,10,Code 10,Permanent,Mpumalanga,4.25
2000,D002001,Dumisani Adams,57,28,Code 14,Contract,KwaZulu-Natal,3.95
2001,D002002,Sipho Khumalo,40,12,Code 14,Permanent,North West,4.67
2002,D002003,Nandi Maseko,38,34,Code 10,Permanent,Limpopo,4.37
2003,D002004,Sibusiso Mokoena,38,18,Code 10,Permanent,Eastern Cape,3.94
2004,D002005,Zanele Sithole,33,2,Code 8,Owner Driver,Western Cape,3.33
2005,D002006,Busisiwe Mokoena,64,27,Code 10,Permanent,Northern Cape,4.18
2006,D002007,Sibusiso Pillay,24,8,Code 10,Contract,Eastern Cape,3.2
2007,D002008,Nomsa Adams,30,33,Code 14,Permanent,North West,4.79
2008,D002009,Precious Mabena,56,24,Code 8,Contract,Free State,3.33
2009,D002010,Ayanda Mabena,34,16,Code 10,Contract,Mpumalanga,3.44
2010,D002011,Themba Cele,35,5,Code 10,Contract,North West,4.02
2011,D002012,Nomsa Ngcobo,40,11,Code 8,Contract,Mpumalanga,3.99
2012,D002013,Busisiwe Khumalo,62,27,Code 10,Contract,KwaZulu-Natal,2.8
2013,D002014,Sipho Moyo,54,12,Code 14,Contract,KwaZulu-Natal,4.49
2014,D002015,Nokuthula Cele,27,32,Code 10,Permanent,KwaZulu-Natal,4.55
2015,D002016,Amanda Mthembu,45,18,Code 10,Contract,Free State,3.64
2016,D002017,Tshepo Maseko,37,23,Code 14,Contract,Mpumalanga,4.08
2017,D002018,Bongani Jacobs,45,19,Code 10,Permanent,Free State,4.49
2018,D002019,Kagiso Modise,52,31,Code 14,Contract,Western Cape,4.04
2019,D002020,Thabo Ngcobo,23,5,Code 10,Contract,Eastern Cape,4.31
2020,D002021,Thabo Nkosi,29,9,Code 10,Permanent,Free State,3.73
2021,D002022,Bongani Mabena,44,27,Code 8,Permanent,Gauteng,4.28
2022,D002023,Lwazi Williams,38,1,Code 10,Permanent,Mpumalanga,4.05
2023,D002024,Thabo Mabena,65,34,Code 10,Contract,Gauteng,4.59
2024,D002025,Mandla Mokoena,39,14,Code 14,Permanent,KwaZulu-Natal,4.58
2025,D002026,Busisiwe Naidoo,59,11,Code 10,Permanent,Free State,4.25
2026,D002027,Lindelwa Williams,48,5,Code 10,Contract,Limpopo,3.71
2027,D002028,Busisiwe Ngcobo,44,27,Code 8,Permanent,North West,4.02
2028,D002029,Themba Moyo,29,8,Code 8,Permanent,Western Cape,5.0
2029,D002030,Tshepo Mahlangu,41,32,Code 14,Owner Driver,Limpopo,3.21
2030,D002031,Phumzile Mthembu,47,33,Code 14,Owner Driver,Northern Cape,3.41
2031,D002032,Dumisani Maseko,26,4,Code 8,Owner Driver,Limpopo,4.16
2032,D002033,Precious Jacobs,62,20,Code 8,Permanent,Eastern Cape,3.33
2033,D002034,Siyabonga Modise,24,11,Code 10,Permanent,Free State,3.53
2034,D002035,Mandla Molefe,43,30,Code 10,Permanent,Limpopo,4.0
2035,D002036,Mandla Sithole,54,32,Code 14,Contract,Free State,3.99
2036,D002037,Bongani Mokoena,38,33,Code 14,Permanent,Northern Cape,4.07
2037,D002038,Lerato Williams,24,34,Code 10,Permanent,North West,4.48
2038,D002039,Precious Zulu,44,5,Code 8,Owner Driver,North West,3.72
2039,D002040,Karabo Nkosi,32,29,Code 10,Permanent,Free State,4.62
2040,D002041,Nandi Modise,28,7,Code 10,Contract,Mpumalanga,4.21
2041,D002042,Lerato Van Wyk,36,33,Code 10,Owner Driver,Limpopo,4.51
2042,D002043,Zanele Dlamini,46,1,Code 8,Permanent,Western Cape,3.33
2043,D002044,Kabelo Pillay,60,9,Code 8,Contract,KwaZulu-Natal,4.42
2044,D002045,Nokuthula Williams,60,14,Code 10,Permanent,Eastern Cape,4.15
2045,D002046,Nomsa Moyo,62,6,Code 10,Permanent,Western Cape,3.42
2046,D002047,Lindelwa Maseko,59,2,Code 10,Owner Driver,Gauteng,3.47
2047,D002048,Karabo Cele,56,9,Code 10,Permanent,Northern Cape,2.71
2048,D002049,Bongani Mkhize,31,7,Code 8,Permanent,Mpumalanga,4.28
2049,D002050,Lindelwa Mahlangu,24,13,Code 8,Owner Driver,North West,4.11
2050,D002051,Nomsa Van Wyk,64,16,Code 14,Contract,Western Cape,3.11
2051,D002052,Zanele Molefe,23,33,Code 8,Permanent,KwaZulu-Natal,4.05
2052,D002053,Nomsa Naidoo,40,30,Code 10,Permanent,KwaZulu-Natal,3.92
2053,D002054,Sibusiso Mahlangu,25,10,Code 14,Contract,Limpopo,5.0
2054,D002055,Kabelo Sithole,32,9,Code 10,Owner Driver,Limpopo,4.61
2055,D002056,Themba Mokoena,34,7,Code 10,Contract,Gauteng,5.0
2056,D002057,Bongani Mabena,26,34,Code 14,Permanent,Limpopo,4.56
2057,D002058,Karabo Botha,33,27,Code 10,Owner Driver,Western Cape,3.77
2058,D002059,Sipho Cele,35,3,Code 14,Permanent,Mpumalanga,4.25
2059,D002060,Nomsa Ngcobo,45,11,Code 14,Permanent,Eastern Cape,4.51
2060,D002061,Mpho Molefe,56,19,Code 10,Permanent,Gauteng,3.29
2061,D002062,Bongani Pillay,48,16,Code 8,Contract,Northern Cape,4.05
2062,D002063,Nokuthula Jacobs,62,3,Code 10,Permanent,Eastern Cape,4.31
2063,D002064,Amanda Molefe,27,34,Code 8,Owner Driver,Eastern Cape,3.8
2064,D002065,Thabo Botha,49,15,Code 10,Contract,Eastern Cape,4.17
2065,D002066,Thabo Ndlovu,26,10,Code 8,Permanent,North West,4.29
2066,D002067,Precious Modise,61,15,Code 14,Owner Driver,Gauteng,5.0
2067,D002068,Tshepo Cele,37,18,Code 10,Permanent,Free State,4.29
2068,D002069,Thabo Ndlovu,58,19,Code 8,Contract,Eastern Cape,3.96
2069,D002070,Siyabonga Mokoena,31,23,Code 10,Owner Driver,Mpumalanga,3.44
2070,D002071,Precious Botha,51,27,Code 10,Permanent,Free State,4.4
2071,D002072,Nomsa Nkosi,24,1,Code 14,Owner Driver,Northern Cape,3.76
2072,D002073,Bongani Mthembu,42,31,Code 10,Permanent,Free State,3.89
2073,D002074,Siyabonga Naidoo,40,7,Code 10,Permanent,North West,4.21
2074,D002075,Nokuthula Ngcobo,27,1,Code 8,Permanent,Mpumalanga,3.6
2075,D002076,Amanda Cele,43,32,Code 8,Permanent,Western Cape,4.28
2076,D002077,Lerato Mkhize,46,6,Code 8,Contract,Western Cape,4.87
2077,D002078,Ayanda Mkhize,33,1,Code 10,Owner Driver,KwaZulu-Natal,4.18
2078,D002079,Dumisani Ndlovu,54,23,Code 8,Permanent,KwaZulu-Natal,4.8
2079,D002080,Busisiwe Sithole,61,32,Code 10,Permanent,Northern Cape,3.42
2080,D002081,Dumisani Modise,42,27,Code 10,Permanent,Gauteng,3.68
2081,D002082,Nomsa Mthembu,42,6,Code 10,Permanent,Eastern Cape,5.0
2082,D002083,Precious Pillay,30,12,Code 10,Contract,Gauteng,4.59
2083,D002084,Amanda Van Wyk,52,25,Code 8,Permanent,Gauteng,4.32
2084,D002085,Lwazi Cele,65,29,Code 10,Contract,Northern Cape,4.34
2085,D002086,Lindelwa Nkosi,28,7,Code 14,Permanent,Eastern Cape,4.14
2086,D002087,Kagiso Moyo,64,25,Code 10,Owner Driver,Northern Cape,3.02
2087,D002088,Lerato Van Wyk,55,13,Code 8,Permanent,Eastern Cape,3.63
2088,D002089,Bongani Molefe,49,18,Code 8,Contract,Eastern Cape,4.49
2089,D002090,Nokuthula Adams,47,14,Code 8,Contract,Gauteng,4.68
2090,D002091,Siyabonga Moyo,27,8,Code 14,Permanent,Gauteng,3.68
